shape id,day,hour,week id,footfall,category,area name
22496,22/3/14,3,12,634,Work cluster,CBD area 1
22670,22/3/14,3,12,220,Shopping cluster,Orchard Road 1
23287,22/3/14,3,12,723,Airport,Changi Airport 2
16430,22/3/14,4,12,947,Work cluster,CBD area 2
4697,22/3/14,3,12,220,Residential area,Ang Mo Kio 2
4911,22/3/14,3,12,1001,Shopping cluster,Orchard Rd 3
11126,22/3/14,3,12,220,Residential area,Ang Mo Kio 2
2764,22/3/14,4,12,220,Work cluster,CBD area 3
12432,22/3/14,4,12,300,Airport,Changi Airport 1
13593,22/3/14,4,12,826,Shopping cluster,Orchard Rd 2
17668,22/3/14,4,12,1052,Residential area,Ang Mo Kio 1
16417,22/3/14,4,12,220,Airport,Changi Airport 3
22496,22/3/14,4,12,499,Work cluster,CBD area 1
22670,22/3/14,4,12,220,Shopping cluster,Orchard Road 1
23287,22/3/14,4,12,891,Airport,Changi Airport 2
4697,22/3/14,4,12,220,Residential area,Ang Mo Kio 2
8598,22/3/14,4,12,220,Airport,Changi Airport 2
11126,22/3/14,4,12,220,Residential area,Ang Mo Kio 2
2764,22/3/14,5,12,220,Work cluster,CBD area 3
12432,22/3/14,5,12,645,Airport,Changi Airport 1
13593,22/3/14,5,12,851,Shopping cluster,Orchard Rd 2
17668,22/3/14,5,12,1098,Residential area,Ang Mo Kio 1
16430,22/3/14,5,12,547,Work cluster,CBD area 2
22496,22/3/14,5,12,334,Work cluster,CBD area 1
22670,22/3/14,5,12,220,Shopping cluster,Orchard Road 1
23287,22/3/14,5,12,1580,Airport,Changi Airport 2
4697,22/3/14,5,12,220,Residential area,Ang Mo Kio 2
4911,22/3/14,5,12,867,Shopping cluster,Orchard Rd 3
8598,22/3/14,5,12,220,Airport,Changi Airport 2
11126,22/3/14,5,12,220,Residential area,Ang Mo Kio 2
2764,22/3/14,6,12,376,Work cluster,CBD area 3
12432,22/3/14,6,12,1173,Airport,Changi Airport 1
13593,22/3/14,6,12,1025,Shopping cluster,Orchard Rd 2
17668,22/3/14,6,12,1199,Residential area,Ang Mo Kio 1
16417,22/3/14,6,12,220,Airport,Changi Airport 3
16430,22/3/14,6,12,618,Work cluster,CBD area 2
22670,22/3/14,6,12,220,Shopping cluster,Orchard Road 1
22496,22/3/14,6,12,385,Work cluster,CBD area 1
23287,22/3/14,6,12,2512,Airport,Changi Airport 2
4697,22/3/14,6,12,253,Residential area,Ang Mo Kio 2
4911,22/3/14,6,12,997,Shopping cluster,Orchard Rd 3
8598,22/3/14,6,12,220,Airport,Changi Airport 2
11126,22/3/14,6,12,220,Residential area,Ang Mo Kio 2
2764,22/3/14,7,12,862,Work cluster,CBD area 3
12432,22/3/14,7,12,1496,Airport,Changi Airport 1
13593,22/3/14,7,12,1574,Shopping cluster,Orchard Rd 2
17668,22/3/14,7,12,1459,Residential area,Ang Mo Kio 1
16417,22/3/14,7,12,220,Airport,Changi Airport 3
16430,22/3/14,7,12,1048,Work cluster,CBD area 2
22496,22/3/14,7,12,559,Work cluster,CBD area 1
22670,22/3/14,7,12,220,Shopping cluster,Orchard Road 1
23287,22/3/14,7,12,3232,Airport,Changi Airport 2
4697,22/3/14,7,12,532,Residential area,Ang Mo Kio 2
4911,22/3/14,7,12,1273,Shopping cluster,Orchard Rd 3
8598,22/3/14,7,12,220,Airport,Changi Airport 2
11126,22/3/14,7,12,235,Residential area,Ang Mo Kio 2
12432,18/3/14,13,11,2529,Airport,Changi Airport 1
17668,18/3/14,13,11,1566,Residential area,Ang Mo Kio 1
23287,18/3/14,13,11,4982,Airport,Changi Airport 2
4697,18/3/14,13,11,1593,Residential area,Ang Mo Kio 2
4911,18/3/14,13,11,9304,Shopping cluster,Orchard Rd 3
12432,18/3/14,14,11,2679,Airport,Changi Airport 1
8598,18/3/14,13,11,262,Airport,Changi Airport 2
11126,18/3/14,13,11,616,Residential area,Ang Mo Kio 2
2764,18/3/14,14,11,10399,Work cluster,CBD area 3
13593,18/3/14,14,11,10925,Shopping cluster,Orchard Rd 2
17668,18/3/14,14,11,1387,Residential area,Ang Mo Kio 1
16417,18/3/14,14,11,430,Airport,Changi Airport 3
22496,18/3/14,14,11,9477,Work cluster,CBD area 1
23287,18/3/14,14,11,5082,Airport,Changi Airport 2
2764,18/3/14,22,11,3086,Work cluster,CBD area 3
4697,18/3/14,14,11,1465,Residential area,Ang Mo Kio 2
4911,18/3/14,14,11,8627,Shopping cluster,Orchard Rd 3
8598,18/3/14,14,11,220,Airport,Changi Airport 2
2764,18/3/14,15,11,9515,Work cluster,CBD area 3
12432,18/3/14,15,11,2621,Airport,Changi Airport 1
13593,18/3/14,15,11,11333,Shopping cluster,Orchard Rd 2
16417,18/3/14,15,11,421,Airport,Changi Airport 3
22496,18/3/14,15,11,8873,Work cluster,CBD area 1
23287,18/3/14,15,11,5465,Airport,Changi Airport 2
8598,18/3/14,21,11,274,Airport,Changi Airport 2
4911,18/3/14,15,11,8736,Shopping cluster,Orchard Rd 3
8598,18/3/14,15,11,293,Airport,Changi Airport 2
2764,18/3/14,16,11,9616,Work cluster,CBD area 3
