shape_id,start_day,end_day,weekid,footfall,category,name,prepaid,postpaid,locals,visitors,gender_male,gender_female,repeated_1day,repeated_2day,repeated_3day,repeated_4day,repeated_5day,repeated_6day,repeated_7day,dur_less_than_30min,dur_30_60min,dur_60_90min,dur_90_120min,dur_120_150min,dur_150_180min,dur_180_210min,dur_210_240min,dur_more_than_4h,age_20_29,age_30_39,age_40_49,age_50_59,age_more_than_60,race_chinese,race_malay,race_indian,race_other,top1_country_name,top1_country_value,top2_country_name,top2_country_value,top3_country_name,top3_country_value,top4_country_name,top4_country_value,top5_country_name,top5_country_value,top6_country_name,top6_country_value,top7_country_name,top7_country_value,top8_country_name,top8_country_value,top9_country_name,top9_country_value,top10_country_name,top10_country_value,top1_handset_name,top1_handset_value,top2_handset_name,top2_handset_value,top3_handset_name,top3_handset_value,top4_handset_name,top4_handset_value,top5_handset_name,top5_handset_value,top6_handset_name,top6_handset_value,top7_handset_name,top7_handset_value,top8_handset_name,top8_handset_value,top9_handset_name,top9_handset_value,top10_handset_name,top10_handset_value
2764,16/3/14,23/3/14,11,310660,Work cluster,CBD area 3,0.137038007,0.725453052,0.939596626,0.060403374,0.009495319,0.005623488,0.575993047,0.143558875,0.071856692,0.055143887,0.054426061,0.010068886,0.00289062,0.169606644,0.017018606,0.008993755,0.007232988,0.006969034,0.003453937,0.002237172,0.001696388,0.012460568,0.155981559,0.183922413,0.129527863,0.050343817,0.016741143,0.354063834,0.016904022,0.010165783,0.007425164,Singapore,0.939596626,Malaysia,0.010307417,Indonesia,0.008126253,China,0.007935047,Japan,0.004337542,"Hong Kong, China",0.003377972,Korea,0.003211552,Philippines,0.00287163,UK,0.002560035,India,0.002053693,Apple/iPhone 5,0.119351458,Apple/iPhone 5S,0.072991098,Apple/iPhone 4S,0.070498339,Apple/iPhone 4,0.055711746,Samsung Korea/Samsung SM-N9005,0.051884087,Samsung Korea/Samsung GT-I9505,0.03928928,Blackberry/9900,0.027908986,Samsung Korea/Samsung GT-N7105,0.025069224,Samsung Korea/Samsung GT-I9300,0.022353391,Samsung Korea/Samsung GT-I9305,0.018469078
4697,16/3/14,23/3/14,11,83125,Residential area,Ang Mo Kio 2,0.261526043,0.61352689,0.971522337,0.028477663,0.001405031,0.014041731,0.656324812,0.140102256,0.052655639,0.026333835,0.015879699,0.010947368,0.014099248,0.048577444,0.013786466,0.009166917,0.007085714,0.006195489,0.003729323,0.002442105,0.001936842,0.006989474,0.163958289,0.178607347,0.150089985,0.069897311,0.027127885,0.352794834,0.023290282,0.009514609,0.015959136,Singapore,0.971522337,Malaysia,0.016184099,Philippines,0.004102266,China,0.002276096,Indonesia,0.001958501,India,0.000793987,Australia,0.000370527,Japan,0.000317595,Germany,0.000291129,"Hong Kong, China",0.000277895,Apple/iPhone 4S,0.099102795,Apple/iPhone 5,0.08144982,Apple/iPhone 4,0.061983909,Apple/iPhone 5S,0.049478615,Samsung Korea/Samsung SM-N9005,0.038548063,Samsung Korea/Samsung GT-I9505,0.025394347,Samsung Korea/Samsung GT-I9300,0.023263815,Samsung Korea/Samsung GT-I9100,0.022853589,Samsung Korea/Samsung GT-N7105,0.018261698,Samsung Korea/Samsung GT-I9305,0.017772073
4911,16/3/14,23/3/14,11,332664,Shopping cluster,Orchard Rd 3,0.157620808,0.677404422,0.919440385,0.080559615,-0.003405574,0.014846909,0.684336147,0.137063223,0.044874107,0.021246663,0.014410937,0.009583243,0.005600245,0.118016978,0.041170671,0.027986196,0.023260708,0.025674555,0.011855806,0.007632326,0.005492028,0.025957122,0.152568266,0.165930389,0.12847941,0.053699797,0.020302756,0.358294039,0.017895523,0.006838127,0.009397464,Singapore,0.919440385,Indonesia,0.021248454,Malaysia,0.012995086,China,0.009374318,Philippines,0.004844224,Japan,0.00386546,Thailand,0.00270483,Australia,0.002364246,UK,0.002357633,India,0.002165848,Apple/iPhone 5,0.126349935,Apple/iPhone 4S,0.080242178,Apple/iPhone 5S,0.069627871,Apple/iPhone 4,0.066456805,Samsung Korea/Samsung SM-N9005,0.044107241,Samsung Korea/Samsung GT-I9505,0.037374926,Samsung Korea/Samsung GT-N7105,0.023784645,Samsung Korea/Samsung GT-I9300,0.022941453,Samsung Korea/Samsung GT-I9100,0.018603144,Samsung Korea/Samsung GT-I9305,0.016847319
8598,16/3/14,23/3/14,11,26232,Airport,Changi Airport 2,0.148949553,0.346500608,0.563173565,0.436826435,-0.14621886,-0.064229303,0.913388228,0.045326319,0.009759073,0.007624276,0.007624276,0.007624276,0.007624276,0.203301311,0.071096371,0.044754498,0.030802074,0.021309851,0.013075633,0.007624276,0.004879536,0.01383806,0.093345075,0.117792594,0.090367761,0.029647335,0.009686753,0.158342768,0.012915671,0.009644819,0.005409485,Singapore,0.563173565,Indonesia,0.10630268,China,0.069610433,Malaysia,0.045288716,India,0.026628087,Philippines,0.024950728,Australia,0.02046379,Germany,0.017402608,Japan,0.010818971,Thailand,0.010777037,Apple/iPhone 5,0.126305196,Apple/iPhone 4S,0.075397325,Apple/iPhone 4,0.060678492,Apple/iPhone 5S,0.052501363,Samsung Korea/Samsung SM-N9005,0.027424833,Samsung Korea/Samsung GT-I9505,0.026418417,Blackberry/9900,0.019247704,Samsung Korea/Samsung GT-I9300,0.017989684,Samsung Korea/Samsung GT-N7105,0.013376945,Samsung Korea/Samsung GT-I9100,0.012035057
11126,16/3/14,23/3/14,11,19084,Residential area,Ang Mo Kio 2,0.293215747,0.598074817,0.977866159,0.022133841,0.013645584,0.009433536,0.584887864,0.126807797,0.063927898,0.04391113,0.032173549,0.029396353,0.036365542,0.069953888,0.025675959,0.018392371,0.016348774,0.013571578,0.008750786,0.00654999,0.004768392,0.019807168,0.134359329,0.174534555,0.173669952,0.090091648,0.047149692,0.372240475,0.018444867,0.009164793,0.021096317,Singapore,0.977866159,Malaysia,0.011182201,Indonesia,0.003112571,China,0.002478529,Philippines,0.002190328,India,0.000691683,Germany,0.000518762,Australia,0.000288201,"Hong Kong, China",0.000288201,Korea,0.000230561,Apple/iPhone 4,0.075969797,Apple/iPhone 4S,0.074816992,Apple/iPhone 5,0.064095913,Apple/iPhone 5S,0.039425904,Samsung Korea/Samsung SM-N9005,0.031817396,Samsung Korea/Samsung GT-I9100,0.025534613,Samsung Korea/Samsung GT-I9505,0.02484293,Samsung Korea/Samsung GT-I9300,0.022825523,Samsung Korea/Samsung GT-N7000,0.01930947,Samsung Korea/Samsung GT-N7105,0.017003862
12432,16/3/14,23/3/14,11,155790,Airport,Changi Airport 1,0.120061853,0.586399486,0.775960798,0.224039202,-0.027741568,-0.02165105,0.787219976,0.079902433,0.021792156,0.013473265,0.011733744,0.007330381,0.004043905,0.190069966,0.065068361,0.038352911,0.025759035,0.022735734,0.010693883,0.006784774,0.004621606,0.019924257,0.115952467,0.154596228,0.124340698,0.044814901,0.014954776,0.28144351,0.029295261,0.0102311,0.006065228,Singapore,0.775960798,Indonesia,0.052602964,China,0.030121375,Malaysia,0.026612157,Japan,0.013613223,India,0.013126028,Korea,0.011968057,Philippines,0.008826001,Australia,0.008621237,Thailand,0.005394452,Apple/iPhone 5,0.139782669,Apple/iPhone 4S,0.072401449,Apple/iPhone 5S,0.071963679,Apple/iPhone 4,0.057453734,Samsung Korea/Samsung SM-N9005,0.04833118,Samsung Korea/Samsung GT-I9505,0.038693187,Samsung Korea/Samsung GT-N7105,0.025997868,Samsung Korea/Samsung GT-I9300,0.02143659,Samsung Korea/Samsung GT-I9305,0.018485176,Samsung Korea/Samsung GALAXY NOTE 2 GT-N7105,0.016734097
13593,16/3/14,23/3/14,11,309761,Shopping cluster,Orchard Rd 2,0.197179698,0.609529085,0.900497512,0.099502488,-0.034847452,-0.002702788,0.69225306,0.122617114,0.042129254,0.02282082,0.018788679,0.013265066,0.009855986,0.124786529,0.053086089,0.037661294,0.030113539,0.030007005,0.015285979,0.011166674,0.008474275,0.048779543,0.137645108,0.181668389,0.134299949,0.051139733,0.018828058,0.310307847,0.014999947,0.005958786,0.010191725,Singapore,0.900497512,Indonesia,0.03062134,Malaysia,0.014847248,China,0.01090195,Philippines,0.009559625,Japan,0.003700271,Thailand,0.003409079,Australia,0.002613627,India,0.002233657,UK,0.002120021,Apple/iPhone 5,0.13101516,Apple/iPhone 5S,0.076320752,Apple/iPhone 4S,0.074403145,Apple/iPhone 4,0.058831467,Samsung Korea/Samsung SM-N9005,0.04484004,Samsung Korea/Samsung GT-I9505,0.035837941,Samsung Korea/Samsung GT-N7105,0.021342254,Samsung Korea/Samsung GT-I9300,0.018590133,Samsung Korea/Samsung GT-I9305,0.015507757,Samsung Korea/Samsung GALAXY NOTE 2 GT-N7105,0.014481483
16417,16/3/14,23/3/14,11,25109,Airport,Changi Airport 3,0.2450276,0.507973364,0.82857268,0.17142732,-0.037024524,-0.041764114,0.805647377,0.089410172,0.034609104,0.016647417,0.010514158,0.007965271,0.007965271,0.106057589,0.0205504,0.012624955,0.009717631,0.006292564,0.002986977,0.002230276,0.001075312,0.003942809,0.135415754,0.167484448,0.132436695,0.065407868,0.026198195,0.235739946,0.037501095,0.009988609,0.014019101,Singapore,0.82857268,China,0.036318234,Indonesia,0.034872514,Malaysia,0.024358188,India,0.011916236,Philippines,0.009331464,Thailand,0.005826689,Japan,0.005476211,Australia,0.004906685,UK,0.003460966,Apple/iPhone 5,0.093270832,Apple/iPhone 4S,0.071804083,Apple/iPhone 4,0.066021204,Apple/iPhone 5S,0.048584947,Samsung Korea/Samsung SM-N9005,0.034083939,Samsung Korea/Samsung GT-I9505,0.026723911,Samsung Korea/Samsung GT-I9300,0.018794357,Samsung Korea/Samsung GT-N7105,0.016472444,Samsung Korea/Samsung GT-I9100,0.01415053,Samsung Korea/Samsung GT-N7000,0.012967668
16430,16/3/14,23/3/14,11,268577,Work cluster,CBD area 2,0.131724559,0.694033855,0.906446976,0.093553024,0.023703768,-0.018522786,0.54597378,0.148478835,0.079411119,0.057417426,0.058620061,0.016818268,0.007320061,0.077698388,0.020977224,0.014122579,0.011843903,0.013571527,0.006311039,0.004516396,0.003656307,0.023900036,0.133362822,0.183260226,0.138531543,0.057404745,0.020957483,0.351587682,0.013384611,0.009997502,0.007708029,Singapore,0.906446976,Malaysia,0.014236508,China,0.013446046,Indonesia,0.010873973,Korea,0.005213773,UK,0.005135955,Japan,0.005082712,"Hong Kong, China",0.004947555,Australia,0.003419875,Germany,0.003227379,Apple/iPhone 5,0.10525432,Apple/iPhone 4S,0.084964429,Apple/iPhone 4,0.06919205,Apple/iPhone 5S,0.053571209,Samsung Korea/Samsung SM-N9005,0.036922359,Samsung Korea/Samsung GT-I9505,0.031307211,Blackberry/9900,0.030549514,Samsung Korea/Samsung GT-I9300,0.025974664,Samsung Korea/Samsung GT-N7105,0.020113777,Samsung Korea/Samsung GT-I9100,0.019753359
17668,16/3/14,23/3/14,11,36619,Residential area,Ang Mo Kio 1,0.149804746,0.776839892,0.986692701,0.013307299,0.088893307,0.020803839,0.576968241,0.112018351,0.053578743,0.036265327,0.030694448,0.02927442,0.071274475,0.111745269,0.052622955,0.036729567,0.027089762,0.036128786,0.01417297,0.01048636,0.008929791,0.093093749,0.129227996,0.179603485,0.178221688,0.089065786,0.032832682,0.461910484,0.019465305,0.00853109,0.011534995,Singapore,0.986692701,Malaysia,0.007720036,Indonesia,0.001381796,Philippines,0.00126164,China,0.001111445,India,0.00033043,"Hong Kong, China",0.000210273,Viet Nam,0.000180234,Thailand,0.000150195,Netherlands,0.000120156,Apple/iPhone 5,0.101411835,Apple/iPhone 4S,0.068819465,Apple/iPhone 4,0.060228297,Samsung Korea/Samsung SM-N9005,0.057194353,Apple/iPhone 5S,0.05190748,Samsung Korea/Samsung GT-I9505,0.046139982,Samsung Korea/Samsung GT-N7105,0.037278462,Samsung Korea/Samsung GT-I9305,0.028717333,Samsung Korea/Samsung GT-I9100,0.026404326,Samsung Korea/Samsung GT-I9300,0.025533193
